CarName,fueltype,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,horsepower,citympg,highwaympg,price
alfa-romero giulia,gas,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,111,21,27,13495
alfa-romero stelvio,gas,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,111,21,27,16500
alfa-romero Quadrifoglio,gas,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,six,152,mpfi,154,19,26,16500
audi 100 ls,gas,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,102,24,30,13950
audi 100ls,gas,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,115,18,22,17450
audi fox,gas,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,five,136,mpfi,110,19,25,15250
audi 100ls,gas,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,110,19,25,17710
audi 5000,gas,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,five,136,mpfi,110,19,25,18920
audi 4000,gas,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,five,131,mpfi,140,17,20,23875
audi 5000s (diesel),gas,two,hatchback,4wd,front,99.5,178.2,67.9,52,3053,ohc,five,131,mpfi,160,16,22,17859.167
bmw 320i,gas,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,101,23,29,16430
bmw 320i,gas,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,101,23,29,16925
bmw x1,gas,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,121,21,28,20970
bmw x3,gas,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,121,21,28,21105
bmw z4,gas,four,sedan,rwd,front,103.5,189,66.9,55.7,3055,ohc,six,164,mpfi,121,20,25,24565
bmw x4,gas,four,sedan,rwd,front,103.5,189,66.9,55.7,3230,ohc,six,209,mpfi,182,16,22,30760
bmw x5,gas,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,182,16,22,41315
bmw x3,gas,four,sedan,rwd,front,110,197,70.9,56.3,3505,ohc,six,209,mpfi,182,15,20,36880
chevrolet impala,gas,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,three,61,2bbl,48,47,53,5151
chevrolet monte carlo,gas,two,hatchback,fwd,front,94.5,155.9,63.6,52,1874,ohc,four,90,2bbl,70,38,43,6295
chevrolet vega 2300,gas,four,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,four,90,2bbl,70,38,43,6575
dodge rampage,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,68,37,41,5572
dodge challenger se,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,68,31,38,6377
dodge d200,gas,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,102,24,30,7957
dodge monaco (sw),gas,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,68,31,38,6229
dodge colt hardtop,gas,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,68,31,38,6692
dodge colt (sw),gas,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,68,31,38,7609
dodge coronet custom,gas,two,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,four,98,mpfi,102,24,30,8558
dodge dart custom,gas,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,88,24,30,8921
dodge coronet custom (sw),gas,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,145,19,24,12964
honda civic,gas,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,four,92,1bbl,58,49,54,6479
honda civic cvcc,gas,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,four,92,1bbl,76,31,38,6855
honda civic,gas,two,hatchback,fwd,front,93.7,150,64,52.6,1837,ohc,four,79,1bbl,60,38,42,5399
honda accord cvcc,gas,two,hatchback,fwd,front,93.7,150,64,52.6,1940,ohc,four,92,1bbl,76,30,34,6529
honda civic cvcc,gas,two,hatchback,fwd,front,93.7,150,64,52.6,1956,ohc,four,92,1bbl,76,30,34,7129
honda accord lx,gas,four,sedan,fwd,front,96.5,163.4,64,54.5,2010,ohc,four,92,1bbl,76,30,34,7295
honda civic 1500 gl,gas,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,76,30,34,7295
honda accord,gas,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,86,27,33,7895
honda civic 1300,gas,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,86,27,33,9095
honda prelude,gas,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,86,27,33,8845
honda accord,gas,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,four,110,1bbl,86,27,33,10295
honda civic,gas,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,101,24,28,12945
honda civic (auto),gas,two,sedan,fwd,front,96.5,169.1,66,51,2293,ohc,four,110,2bbl,100,25,31,10345
isuzu MU-X,gas,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,four,111,2bbl,78,24,29,6785
isuzu D-Max ,gas,two,sedan,fwd,front,94.5,155.9,63.6,52,1874,ohc,four,90,2bbl,70,38,43,8916.5
isuzu D-Max V-Cross,gas,four,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,four,90,2bbl,70,38,43,8916.5
isuzu D-Max ,gas,two,hatchback,rwd,front,96,172.6,65.2,51.4,2734,ohc,four,119,spfi,90,24,29,11048
jaguar xj,gas,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,six,258,mpfi,176,15,19,32250
jaguar xf,gas,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,six,258,mpfi,176,15,19,35550
jaguar xk,gas,two,sedan,rwd,front,102,191.7,70.6,47.8,3950,ohcv,twelve,326,mpfi,262,13,17,36000
maxda rx3,gas,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,four,91,2bbl,68,30,31,5195
maxda glc deluxe,gas,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,four,91,2bbl,68,31,38,6095
mazda rx2 coupe,gas,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,four,91,2bbl,68,31,38,6795
mazda rx-4,gas,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,four,91,2bbl,68,31,38,6695
mazda glc deluxe,gas,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,four,91,2bbl,68,31,38,7395
mazda 626,gas,two,hatchback,rwd,front,95.3,169,65.7,49.6,2380,rotor,two,70,4bbl,101,17,23,10945
mazda glc,gas,two,hatchback,rwd,front,95.3,169,65.7,49.6,2380,rotor,two,70,4bbl,101,17,23,11845
mazda rx-7 gs,gas,two,hatchback,rwd,front,95.3,169,65.7,49.6,2385,rotor,two,70,4bbl,101,17,23,13645
